Model Name,Release Date,price,MMLU,GPQA Diamond,HumanEval,MATH-500,LMSys Chatbot Arena ELO,MATH 5,Tokens per Second,Prefill Latency (s),Prompt Length (tk),source,Provider,Input Price (USD/1M tokens),Output Price (USD/1M tokens)
Gemini-1.5-Pro-2024-09,2024-09-24,2.19,86.0,61.0,88.0,88.0,1301.0,67.0,59.1,0.864,1000.0,epoch,,,
Llama-3.2-Instruct-3B,2024-09-24,0.08,64.0,21.0,60.0,50.0,1103.0,,200.3,0.316,1000.0,epoch,,,
Llama-3.2-Instruct-1B,2024-09-24,0.05,35.0,14.0,40.0,13.0,1103.0,,552.1,0.317,1000.0,epoch,,,
Gemini-1.5-Flash-2024-09,2024-09-24,0.13,75.0,45.0,83.0,83.0,1271.0,58.0,190.5,0.348,1000.0,epoch,,,
Gemini-1.5-Flash-8B,2024-10-03,0.07,75.0,30.0,12.0,70.0,1211.0,,285.2,0.335,1000.0,epoch,,,
Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,89.0,58.0,96.0,76.0,1282.0,53.0,55.2,0.907,1000.0,epoch,,,
Claude-3.5-Haiku,2024-10-22,1.6,81.0,37.0,87.0,67.0,1236.0,,64.2,0.768,1000.0,epoch,,,
Mistral-Large-2-2024-11,2024-11-18,3.0,85.0,47.0,90.0,72.0,1247.0,,43.5,0.639,1000.0,epoch,,,
GPT-4o-2024-11,2024-11-20,4.38,86.0,54.0,93.0,76.0,1361.0,50.0,148.9,0.404,1000.0,epoch,,,
Phi 4,2024-12-13,0.1225,85.0,53.0,87.0,81.0,1204.0,65.0,,,,epoch,,,
DeepSeek-V3,2024-12-26,0.4775,,57.0,91.0,89.0,1318.0,65.0,,,,epoch,,,
Mistral Small 3,2025-01-30,0.475,82.0,46.0,85.0,74.0,1210.0,45.0,,,,epoch,,,
Gemini 2.0 Flash,2025-02-05,0.175,76.4,62.1,51.8,,,,,,,updated_2026,Google,0.1,0.4
Grok 3,2025-02-17,6.0,92.7,84.6,,,,,,,,updated_2026,xAI,3.0,15.0
Grok 3 mini,2025-02-17,0.35,,,,,,,,,,updated_2026,xAI,0.3,0.5
Claude 3.7 Sonnet,2025-02-24,6.0,,68.0,,,,82.2,,,,updated_2026,Anthropic,3.0,15.0
